Warning: Control callbacks may disable some MIP features.
Lazy constraint(s) or lazy constraint callback is present.
    Disabling dual reductions (CPX_PARAM_REDUCE) in presolve.
Clique table members: 61761.
MIP emphasis: balance optimality and feasibility.
MIP search method: traditional branch-and-cut.
Parallel mode: none, using 1 thread.
Root relaxation solution time = 7.27 sec. (3095.31 ticks)

        Nodes                                         Cuts/
   Node  Left     Objective  IInf  Best Integer    Best Bound    ItCnt     Gap         Variable B NodeID Parent  Depth

    130    85      256.2106     5      256.1643      258.0372    25023    0.73%x_ENSP0000029219 D    130    129     39
    132    86      256.1992    27      256.1643      258.0372    25051    0.73%x_ENSP0000027243 D    132    131     41
    135    88      256.1981    13      256.1643      258.0372    25054    0.73%z_ENSMUSP0000005 U    135    134     44
    138    89      256.1850     2      256.1643      258.0372    25067    0.73%x_ENSP0000026334 D    138    137     47
    141    90      256.1744    10      256.1643      258.0372    25092    0.73%x_ENSP0000034435 D    141    140     50
    143    89      256.1667     2      256.1643      258.0372    25100    0.73%x_ENSP0000030163 D    143    142     52
Elapsed time = 1232.84 sec. (645286.60 ticks, tree = 3.83 MB, solutions = 4)
    144    90      257.7836     7      256.1643      257.9898    25175    0.71%x_ENSP0000035999 U    144      4      5
    146    92      257.7538    90      256.1643      257.9898    25248    0.71%x_ENSP0000025649 D    146    145      7
    148    94      257.7291    41      256.1643      257.9898    25311    0.71%mm_ENSMUSP000000 D    148    147      9
    150    96      257.6982    43      256.1643      257.9898    25384    0.71%x_ENSP0000038678 D    150    149     11
    152    98      257.6920     5      256.1643      257.9898    25409    0.71%x_ENSP0000030030 D    152    151     13
    154   100      257.6506     8      256.1643      257.9898    25554    0.71%x_ENSMUSP0000006 U    154    153     15
    156   101      256.3423    45      256.1643      257.9898    26241    0.71%x_ENSMUSP0000009 N    156    155     17
    158   103      256.3393    50      256.1643      257.9898    26260    0.71%x_ENSP0000000953 D    158    157     19
    160   105      256.3313    42      256.1643      257.9898    26267    0.71%mm_ENSMUSP000000 U    160    159     21
    162   107      256.3292     9      256.1643      257.9898    26276    0.71%x_ENSP0000023044 D    162    161     23
Elapsed time = 1350.28 sec. (686703.69 ticks, tree = 4.30 MB, solutions = 4)
    164   109      256.3126    37      256.1643      257.9898    26303    0.71%z_ENSMUSP0000002 U    164    163     25
    166   111      256.2670    25      256.1643      257.9898    26336    0.71%x_ENSP0000029612 D    166    165     27
    168   110      256.2455    32      256.1643      257.9898    26370    0.71%mm_ENSMUSP000000 U    168    166     28
    170   111      256.2221    40      256.1643      257.9898    26400    0.71%x_ENSP0000034435 D    170    169     30
    172   113      256.1953     5      256.1643      257.9898    26409    0.71%z_ENSMUSP0000011 U    172    171     32
    174   111        cutoff            256.1643      257.9898    26437    0.71%z_ENSMUSP0000004 D    174    172     33
    175   112      257.7039    75      256.1643      257.9834    26562    0.71%x_ENSP0000035999 U    175     61      4
    176   113      257.0777    83      256.1643      257.9834    27627    0.71%x_ENSMUSP0000010 N    176    175      5
    177   114      257.3604    14      256.1643      257.9834    27727    0.71%x_ENSMUSP0000010 U    177    175      5
    180   117      257.0963     6      256.1643      257.9834    28040    0.71%x_ENSMUSP0000006 D    180    178      7
Elapsed time = 1520.90 sec. (749448.47 ticks, tree = 4.56 MB, solutions = 4)
    182   119      257.0936    33      256.1643      257.9834    28191    0.71%x_ENSMUSP0000003 D    182    180      8
    184   121      256.8141    63      256.1643      257.9834    28481    0.71%x_ENSP0000034846 D    184    182      9
    188   123      256.1895     7      256.1643      257.9834    28830    0.71%x_ENSMUSP0000008 U    188    186     11
    190   124      256.9473    11      256.1643      257.9834    28913    0.71%x_ENSMUSP0000002 D    190    189     12
    193   127      256.9359     6      256.1643      257.9834    28939    0.71%mm_ENSMUSP000000 D    193    192     15
